PA,(eder mauro cardoso barra OR delegado eder mauro OR delegado da bala OR eder OR mauro)
PA,(#edermaurocardosobarra OR #delegadoedermauro OR #delegadodabala OR #eder OR #mauro)
PA,(@EderMauroPA)
PA,(igor wander centeno normando OR igor normando OR moderninho OR igor OR normando)
PA,(#igorwandercentenonormando OR #igornormando OR #moderninho OR #igor OR #normando)
AM,(alberto barros cavalcante neto OR capitao alberto neto OR capitao politico OR alberto OR neto)
AM,(#albertobarroscavalcanteneto OR #capitaoalbertoneto OR #capitaopolitico OR #alberto OR #neto)
AM,(@capalbertoneto)
AM,(david antonio abisai pereira de almeida OR david almeida OR relampago OR david OR almeida OR antonio)
AM,(#david antonioabisaipereiradealmeida OR #davidalmeida OR #relampago OR #david OR #almeida OR #antonio)
AM,(@DavidAlmeidaAM)
TO,(eduardo siqueira campos OR eduardo siqueira campos OR siqueira OR príncipe do tocantins OR eduardo OR siqueira)
TO,(#eduardosiqueiracampos OR #eduarcamps OR #siqueira OR #principedotocantins OR #eduardo OR #siquiera)
TO,(@edu_S_Campos)
TO,(janad marques de freitas valcari OR janad valcari OR janad OR a guerreira OR janad valcari OR valcari)
TO,(#janadmarquesdefreitasvalcari OR #janadvalcari OR #janad OR #aguerreira OR #janadvalcari OR #valcari)
RO,(mariana fonseca ribeiro carvalho de moraes OR mariana carvalho OR mariana OR maga da mídia OR mariana carvalho OR moraes)
RO,(#marianafonsecaribeirocarvalhodemoraes OR #marianacarvalho OR #mariana OR #magadamidia OR #marianacarvalho OR #moraes)
RO,(@DeputadaMariana)
RO,(leonardo vieira mendes OR léo OR leonardo OR léo coração OR leonardo OR léo)
RO,(#leonardovieiramendes OR #leo OR #leonardo OR #leocoração OR #leonardo OR #leo)
RO,(@depleovieira)
MS,(adriane barbosa nogueira lopes OR adriane lopes OR adriane OR dama de ferro do pantanal OR adriane OR lopes)
MS,(#adrianebarbosanogueiralopes OR #adrianelopes OR #adriane OR #damadeferrodopantanal OR #adriane OR #lopes)
MS,(@adrianelopesms)
MS,(rosiane modesto de oliveira OR rose modesto OR rosiane OR professora OR rosiane OR modesto)
MS,(#rosianemodestodeoliveira OR #rosemodesto OR #rosiane OR #professora OR #rosiane OR #modesto)
MS,(@rosemodestoms)
MT,(abilio jacques brunini moumer OR abilio OR brunini OR abilão OR abilio OR moumer)
MT,(#abiliojacquesbruninimoumer OR #abilio OR #brunini OR #abilão OR #abilio OR #moumer)
MT,(lúdio frank mendes cabral OR lúdio OR lúdio OR médico do povo OR lúdio OR cabral)
MT,(#ludiofrankmendescabral OR #lúdio OR #lúdio OR #medicodopovo OR #lúdio OR #cabral)
MT,(@ludiocabral)
GO,(frederico gustavo rodrigues da cunha OR fred rodrigues OR fred OR fredão OR fred OR rodrigues)
GO,(#fredericogustavorodriguesdacunha OR #fredrodrigues OR #fred OR #fredão OR #fred OR #rodrigues)
GO,(@FredRC)
GO,(sandro da mabel antônio socorro OR mabel OR sandro OR mabelzão OR sandro OR socorro)
GO,(#sandrodamabelantoniociosorro OR #mabel OR #sandro OR #mabelzão OR #sandro OR #socorro)
PR,(cristina reis graeml OR cristina graeml OR cristina OR jornalista OR cristina OR graeml)
PR,(#cristinareisgraeml OR #cristinagraeml OR #cristina OR #jornalista OR #cristina OR #graeml)
PR,(eduardo pimentel slaviero OR eduardo pimentel OR eduardo OR dudu OR eduardo OR slaviero)
PR,(#eduardopimentelslaviero OR #eduardopimentel OR #eduardo OR #dudu OR #eduardo OR #slaviero)
PR,(@_epimentel)
RS,(maria do rosário nunes OR maria do rosário OR maria OR mãe da esquerda OR maria OR nunes)
RS,(#mariadorosarionunes OR #mariadorosario OR #maria OR #maedaesquerda OR #maria OR #nunes)
RS,(@mariadorosario)
RS,(sebastião de araújo melo OR sebastião melo OR sebastião OR sebá OR sebastião OR melo)
RS,(#sebastiaodearaujomelo OR #sebastiaomelo OR #sebastião OR #sebá OR #sebastião OR #melo)
RS,(@SebastiaoMelo)
MG,(bruno de castro engler florêncio de almeida OR bruno enger OR bruno OR o jovem conservador OR bruno OR almeida)
MG,(#brunodecastroenglerflorenciodealmeida OR #brunoengler OR #bruno OR #ojovemconservador OR #bruno OR #almeida)
MG,(@BrunoEnglerDM)
MG,(fuad jorge noman filho OR fuad noman OR fuad OR o velho fuad OR fuad OR noman)
MG,(#fuadjorgenomanfilho OR #fuadnoman OR #fuad OR #ovelhofuad OR #fuad OR #noman)
MG,(@fuadnoman55)
SP,(ricardo luís reis nunes OR ricardo nunes OR ricardo OR ricardinho do mdb OR ricardo OR nunes)
SP,(#ricardoluísreisnunes OR #ricardonunes OR #ricardo OR #ricardinhodomdb OR #ricardo OR #nunes)
SP,(guilherme castro boulos OR guilherme boulos OR guilherme OR boulos OR o sem-teto OR guilherme OR boulos)
SP,(#guilhermecastroboulos OR #guilhermeboulos OR #guilherme OR #boulososemteto OR #guilherme OR #boulos)
SP,(@GuilhermeBoulos)
SE,(emília corrêa santos bezerra OR emilia correa OR emília OR doutora emília OR emilia OR bezerra)
SE,(#emiliacorreasantosbezerra OR #emiliacorrea OR #emília OR #doutoraemília OR #emilia OR #bezerra)
SE,(luís roberto de múcio paranhos OR luís roberto OR luís OR luizinho OR luís OR paranhos)
SE,(#luisrobertodemucioparanhos OR #luisroberto OR #luís OR #luizinho OR #luís OR #paranhos)
CE,(andré fernandes de moura OR andré fernandes OR andré OR andré radical OR andré OR moura)
CE,(#andrefernandesdemoura OR #andrefernandes OR #andré OR #andreradical OR #andré OR #moura)
CE,(@andrefernm)
CE,(evandro sá barreto leitão OR evandro leitão OR evandro OR leitão OR evandro OR barreto)
CE,(#evandrosabarretoleitao OR #evandroleitão OR #evandro OR #leitao OR #evandro OR #barreto)
CE,(@EvandroLeitao)
RN,(natália bastos bonavides OR natália bonavides OR natália OR natália rebelde OR natália OR bonavides)
RN,(#nataliabastosbonavides OR #nataliabonavides OR #natália OR #nataliarebelde OR #natália OR #bonavides)
RN,(@natbonavides)
RN,(paulo eduardo da costa freire OR paulinho freire OR paulo OR paulinho do povo OR paulo OR freire)
